category_no,category
100,소설
100010,소설;나라별소설
100020,소설;고전/문학
100030,소설;장르소설
100040,소설;테마소설
100010010,소설;나라별소설;한국소설
100010020,소설;나라별소설;영미소설
100010030,소설;나라별소설;일본소설
100010040,소설;나라별소설;중국소설
100010050,소설;나라별소설;러시아소설
100010060,소설;나라별소설;프랑스소설
100010070,소설;나라별소설;독일소설
100010080,소설;나라별소설;기타나라소설
100020010,소설;고전/문학;한국고전소설
100020020,소설;고전/문학;세계문학
100020030,소설;고전/문학;세계고전
100030010,소설;장르소설;SF/판타지
100030020,소설;장르소설;추리
100030030,소설;장르소설;전쟁/역사
100030040,소설;장르소설;로맨스
100030050,소설;장르소설;무협
100030060,소설;장르소설;공포/스릴러
100040010,소설;테마소설;인터넷소설
100040020,소설;테마소설;영화/드라마소설
100040030,소설;테마소설;가족/성장소설
100040040,소설;테마소설;어른을 위한 동화
100040050,소설;테마소설;라이트노벨
110,시/에세이
110010,시/에세이;한국시
110020,시/에세이;외국시
110030,시/에세이;인물 에세이
110040,시/에세이;여행 에세이
110050,시/에세이;성공 에세이
110060,시/에세이;독서 에세이
110070,시/에세이;명상 에세이
110080,시/에세이;그림/포토 에세이
110090,시/에세이;연애/사랑 에세이
110100,시/에세이;삶의 지혜/명언
120,인문
120010,인문;인문일반
120020,인문;심리
120030,인문;교육학
120040,인문;철학
120050,인문;문학론
120060,인문;언어학/기호학
120070,인문;종교학
120080,인문;신화
120010010,인문;인문일반;교양인문
120010020,인문;인문일반;인문학이론
120010030,인문;인문일반;독서/글쓰기
120020010,인문;심리;교양심리
120020020,인문;심리;심리학일반
120030010,인문;교육학;교육학의이해
120030020,인문;교육학;교육학일반
120040010,인문;철학;교양철학
120040020,인문;철학;철학일반
120040030,인문;철학;서양철학
120040040,인문;철학;동양철학
120040050,인문;철학;한국철학
120050010,인문;문학론;문학의이해
120050020,인문;문학론;문학이론
120050030,인문;문학론;문학사
120050040,인문;문학론;문학비평/평론
120060010,인문;언어학/기호학;언어학일반
120060020,인문;언어학/기호학;기호학일반
120070010,인문;종교학;종교학의이해
120070020,인문;종교학;종교사
120070030,인문;종교학;종교비평/비교종교학
120080010,인문;신화;신화의 이해
120080020,인문;신화;그리스로마신화
120080030,인문;신화;서양신화
120080040,인문;신화;동양신화
120080050,인문;신화;한국신화
130,가정/생활/요리
130010,가정/생활/요리;결혼/가족
130020,가정/생활/요리;임신/출산/육아
130030,가정/생활/요리;자녀교육
130040,가정/생활/요리;집/살림
130050,가정/생활/요리;요리
130010010,가정/생활/요리;결혼/가족;결혼
130010020,가정/생활/요리;결혼/가족;부부관계
130010030,가정/생활/요리;결혼/가족;가족관계
130020010,가정/생활/요리;임신/출산/육아;임신/출산
130020020,가정/생활/요리;임신/출산/육아;태교
130020030,가정/생활/요리;임신/출산/육아;육아법
130020040,가정/생활/요리;임신/출산/육아;육아일기
130030010,가정/생활/요리;자녀교육;영어교육
130030020,가정/생활/요리;자녀교육;독서교육
130030030,가정/생활/요리;자녀교육;자녀교육일반
130030040,가정/생활/요리;자녀교육;좋은부모 되기
130040010,가정/생활/요리;집/살림;인테리어
130040020,가정/생활/요리;집/살림;원예/조경
130040030,가정/생활/요리;집/살림;생활의 지혜
130050010,가정/생활/요리;요리;음식/요리이야기
130050020,가정/생활/요리;요리;테마별요리
130050030,가정/생활/요리;요리;나라별요리
130050040,가정/생활/요리;요리;빵/케이크/과자
130050050,가정/생활/요리;요리;차/술/음료
140,건강
140010,건강;건강정보/에세이
140020,건강;질병치료/예방
140030,건강;다이어트/미용
140040,건강;요가/헬스
140050,건강;건강운동 기타
150,취미/레저
150010,취미/레저;뜨개질/퀼트/십자수
150020,취미/레저;비즈/구슬공예
150030,취미/레저;선물포장/리본공예
150040,취미/레저;옷만들기
150050,취미/레저;꽃꽃이
150060,취미/레저;퍼즐/스도쿠
150070,취미/레저;바둑/장기
150080,취미/레저;애완동물
150090,취미/레저;사진/비디오
150100,취미/레저;원예/조경
150110,취미/레저;가구/DIY
150120,취미/레저;취미기타
150130,취미/레저;골프
150140,취미/레저;등산
150150,취미/레저;낚시
150160,취미/레저;달리기/마라톤
150170,취미/레저;레저/스포츠기타
160,경제/경영
160010,경제/경영;경제
160020,경제/경영;경영
160030,경제/경영;마케팅/세일즈
160040,경제/경영;재테크/투자
160050,경제/경영;창업/취업
160010010,경제/경영;경제;쉽게읽는 경제
160010020,경제/경영;경제;경제전망
160010030,경제/경영;경제;경제사상/이론
160010040,경제/경영;경제;한국경제
160010050,경제/경영;경제;국제경제
160010060,경제/경영;경제;금융/재정/화폐
160020010,경제/경영;경영;경영일반/이론
160020020,경제/경영;경영;경영전략/혁신
160020030,경제/경영;경영;기업/경영자스토리
160020040,경제/경영;경영;경영실무
160030010,경제/경영;마케팅/세일즈;마케팅일반
160030020,경제/경영;마케팅/세일즈;마케팅전략
160030030,경제/경영;마케팅/세일즈;광고/홍보
160030040,경제/경영;마케팅/세일즈;영업/세일즈
160030050,경제/경영;마케팅/세일즈;트렌드/미래예측
160040010,경제/경영;재테크/투자;재테크일반
160040020,경제/경영;재테크/투자;부동산/경매
160040030,경제/경영;재테크/투자;주식/증권
160050010,경제/경영;창업/취업;창업/장사
160050020,경제/경영;창업/취업;취업
170,자기계발
170010,자기계발;성공/처세
170020,자기계발;시간관리
170030,자기계발;자기능력계발
170040,자기계발;인간관계
170050,자기계발;대화/협상
180,사회
180010,사회;정치/외교
180020,사회;행정/정책
180030,사회;국방/군사/경찰
180040,사회;법
180050,사회;사회학
180060,사회;사회복지
180070,사회;언론/신문/방송
180010010,사회;정치/외교;정치일반
180010020,사회;정치/외교;각국정치
180010030,사회;정치/외교;외교/국제관계
180020010,사회;행정/정책;행정학일반
180020020,사회;행정/정책;행정일반/관리
180020030,사회;행정/정책;정책/지방자치
180030010,사회;국방/군사/경찰;국방/군사 일반
180030020,사회;국방/군사/경찰;전쟁
180030030,사회;국방/군사/경찰;경찰/범죄
180040010,사회;법;법학일반
180040020,사회;법;민법/형법/상법
180040030,사회;법;소송/판례
180040040,사회;법;헌법
180040050,사회;법;국제법
180040060,사회;법;기타법/법률
180050010,사회;사회학;사회학일반
180050020,사회;사회학;사회이론/사상
180050030,사회;사회학;각국사회/문화
180050040,사회;사회학;여성학
180060010,사회;사회복지;사회문제일반
180060020,사회;사회복지;사회복지이론
180060030,사회;사회복지;여성복지
180060040,사회;사회복지;노인복지
180060050,사회;사회복지;아동복지
180060060,사회;사회복지;장애인복지
180070010,사회;언론/신문/방송;언론일반
180070020,사회;언론/신문/방송;언론이론
180070030,사회;언론/신문/방송;신문/방송/츨판
190,역사/문화
190010,역사/문화;역사/문화일반
190020,역사/문화;세계사
190030,역사/문화;서양사
190040,역사/문화;동양사
190050,역사/문화;한국사
190010010,역사/문화;역사/문화일반;역사의이해
190010020,역사/문화;역사/문화일반;역사학이론/비평
190010030,역사/문화;역사/문화일반;주제별역사
190010040,역사/문화;역사/문화일반;문화사일반
190020010,역사/문화;세계사;세계역사/문화일반
190020020,역사/문화;세계사;시대별 역사/문화
190030010,역사/문화;서양사;서양역사/문화일반
190030020,역사/문화;서양사;국가별 역사/문화
190040010,역사/문화;동양사;동양역사/문화일반
190040020,역사/문화;동양사;국가별 역사/문화
190050010,역사/문화;한국사;한국사일반
190050020,역사/문화;한국사;고중세사
190050030,역사/문화;한국사;근현대사
190050040,역사/문화;한국사;한국문화
190050050,역사/문화;한국사;한국역사인물
200,종교
200010,종교;종교일반
200020,종교;기독교(개신교)
200030,종교;가톨릭
200040,종교;불교
200050,종교;기타
210,예술/대중문화
210010,예술/대중문화;예술일반
210020,예술/대중문화;미술
210030,예술/대중문화;음악
210040,예술/대중문화;건축
210050,예술/대중문화;만화/애니메이션
210060,예술/대중문화;사진
210070,예술/대중문화;연극/영화
210080,예술/대중문화;TV/대중문화
210010010,예술/대중문화;예술일반;예술이야기
210010020,예술/대중문화;예술일반;예술론/예술사
210010030,예술/대중문화;예술일반;미학/예술철학
210010040,예술/대중문화;예술일반;예술사전/잡지
210020010,예술/대중문화;미술;미술이야기
210020020,예술/대중문화;미술;미술론/미술사
210020030,예술/대중문화;미술;미술실기/기법
210020040,예술/대중문화;미술;공예/서예
210020050,예술/대중문화;미술;디자인
210030010,예술/대중문화;음악;음악이야기
210030020,예술/대중문화;음악;음악이론/음악사
210030030,예술/대중문화;음악;장르별음악
210030040,예술/대중문화;음악;악기/악보집
210040010,예술/대중문화;건축;건축이야기
210040020,예술/대중문화;건축;건축이론/건축사
210040030,예술/대중문화;건축;건축가
210050010,예술/대중문화;만화/애니메이션;만화 일반
210050020,예술/대중문화;만화/애니메이션;만화 작법/기법
210050030,예술/대중문화;만화/애니메이션;애니메이션 일반
210060010,예술/대중문화;사진;사진일반
210060020,예술/대중문화;사진;사진작가/사진집
210060030,예술/대중문화;사진;사진이론과 실기
210070010,예술/대중문화;연극/영화;연극일반
210070020,예술/대중문화;연극/영화;연극이론/비평
210070030,예술/대중문화;연극/영화;연극사/연극이론
210070040,예술/대중문화;연극/영화;영화사/영화이론
210070050,예술/대중문화;연극/영화;희곡/시나리오
210070060,예술/대중문화;연극/영화;영화제작/비평
210080010,예술/대중문화;TV/대중문화;미디어/광고
210080020,예술/대중문화;TV/대중문화;드라마 극본
210080030,예술/대중문화;TV/대중문화;시나리오/희곡 작법
210080040,예술/대중문화;TV/대중문화;문화비평
220,학습/참고서
220010,학습/참고서;고등학교
220020,학습/참고서;중학교
220030,학습/참고서;초등학교
220040,학습/참고서;논술/면접대비
220050,학습/참고서;공부방법/진학
220010010,학습/참고서;고등학교;자습서
220010020,학습/참고서;고등학교;문제집
220010030,학습/참고서;고등학교;수능문제집
220010040,학습/참고서;고등학교;EBS 고등
220010050,학습/참고서;고등학교;기타
220020010,학습/참고서;중학교;중1 자습서
220020020,학습/참고서;중학교;중1 문제집
220020030,학습/참고서;중학교;중2 자습서
220020040,학습/참고서;중학교;중2 문제집
220020050,학습/참고서;중학교;중3 자습서
220020060,학습/참고서;중학교;중3 문제집
220020070,학습/참고서;중학교;EBS 중등
220020080,학습/참고서;중학교;예비 고1
220020090,학습/참고서;중학교;특목고대비교재
220020100,학습/참고서;중학교;기타
220030010,학습/참고서;초등학교;초등1학년
220030020,학습/참고서;초등학교;초등2학년
220030030,학습/참고서;초등학교;초등3학년
220030040,학습/참고서;초등학교;초등4학년
220030050,학습/참고서;초등학교;초등5학년
220030060,학습/참고서;초등학교;초등6학년
220030070,학습/참고서;초등학교;한글/한자
220030080,학습/참고서;초등학교;EBS 초등
220030090,학습/참고서;초등학교;기타
220040010,학습/참고서;논술/면접대비;중고학습문학
220040020,학습/참고서;논술/면접대비;면접 가이드
220040030,학습/참고서;논술/면접대비;논술 가이드
220050010,학습/참고서;공부방법/진학;검정고시
220050020,학습/참고서;공부방법/진학;공부방법 가이드
220050030,학습/참고서;공부방법/진학;진학 가이드
230,국어/외국어
230010,국어/외국어;국어
230020,국어/외국어;영어
230030,국어/외국어;일본어
230040,국어/외국어;중국어
230050,국어/외국어;기타 외국어
230010010,국어/외국어;국어;국어의이해
230010020,국어/외국어;국어;국어학이론
230010030,국어/외국어;국어;외국인을 위한 한국어
230010040,국어/외국어;국어;한국어수험서
230020010,국어/외국어;영어;영어학습일반
230020020,국어/외국어;영어;회화/청취
230020030,국어/외국어;영어;문법/독해/작문
230020040,국어/외국어;영어;비지니스영어
230020050,국어/외국어;영어;유학영어
230020060,국어/외국어;영어;수험영어
230020070,국어/외국어;영어;번역/통역
230030010,국어/외국어;일본어;일본어일반
230030020,국어/외국어;일본어;회화/청취
230030030,국어/외국어;일본어;문법/독해/작문
230030040,국어/외국어;일본어;일본어능력시험/JPT
230040010,국어/외국어;중국어;중국어일반
230040020,국어/외국어;중국어;회화/청취
230040030,국어/외국어;중국어;문법/독해/작문
230040040,국어/외국어;중국어;HSK
230050010,국어/외국어;기타 외국어;독일어
230050020,국어/외국어;기타 외국어;프랑스어
230050030,국어/외국어;기타 외국어;러시아어
230050040,국어/외국어;기타 외국어;스페인어
230050050,국어/외국어;기타 외국어;기타외국어
240,사전
240010,사전;한영/영한/영영사전
240020,사전;일한/한일사전
240030,사전;중한/한중사전
240040,사전;한자사전
240050,사전;국어사전
240060,사전;기타나라어사전
240070,사전;백과/전문사전
250,과학/공학
250010,과학/공학;쉽게 읽는 과학
250020,과학/공학;과학기본서
250030,과학/공학;수학
250040,과학/공학;물리학
250050,과학/공학;화학
250060,과학/공학;생물학
250070,과학/공학;천문/지구과학
250080,과학/공학;도시/토목/건설
250090,과학/공학;공학일반/산업공학
250100,과학/공학;기계/전기/전자
250110,과학/공학;농수산/축산
250120,과학/공학;의학/식품/생활과학
260,취업/수험서
260010,취업/수험서;취업/상식/적성검사
260020,취업/수험서;공무원
260030,취업/수험서;고시
260040,취업/수험서;전문직
260050,취업/수험서;편입/검정고시
260010010,취업/수험서;취업/상식/적성검사;취업전략/면접
260010020,취업/수험서;취업/상식/적성검사;상식
260010030,취업/수험서;취업/상식/적성검사;적성검사/SSAT
260010040,취업/수험서;취업/상식/적성검사;LEET
260010050,취업/수험서;취업/상식/적성검사;MEET/DEET
260010060,취업/수험서;취업/상식/적성검사;PSAT
260010070,취업/수험서;취업/상식/적성검사;기타 자격증
260020010,취업/수험서;공무원;10급 기능직
260020020,취업/수험서;공무원;9급 공무원
260020030,취업/수험서;공무원;7급 공무원
260020040,취업/수험서;공무원;기술직
260020050,취업/수험서;공무원;세무직
260020060,취업/수험서;공무원;경찰직
260020070,취업/수험서;공무원;법원직
260020080,취업/수험서;공무원;군무원
260020090,취업/수험서;공무원;지하철/철도청
260020100,취업/수험서;공무원;소방직
260020110,취업/수험서;공무원;기타
260030010,취업/수험서;고시;사법고시
260030020,취업/수험서;고시;행정/외무고시
260030040,취업/수험서;고시;기술고시
260030060,취업/수험서;고시;의사고시
260030070,취업/수험서;고시;교원임용고시
260030080,취업/수험서;고시;기타
260040010,취업/수험서;전문직;투자상담사
260040020,취업/수험서;전문직;감정평가사
260040030,취업/수험서;전문직;주택관리사
260040040,취업/수험서;전문직;공인회계사/세무사
260040050,취업/수험서;전문직;공인중개사
260040060,취업/수험서;전문직;물류/유통/품질관리사
260040070,취업/수험서;전문직;법무사
260040080,취업/수험서;전문직;노무사
260040090,취업/수험서;전문직;변리사
260040100,취업/수험서;전문직;사회복지사
260040110,취업/수험서;전문직;기타
260050010,취업/수험서;편입/검정고시;편입/대학원
260050020,취업/수험서;편입/검정고시;고입 검정고시
260050030,취업/수험서;편입/검정고시;대입 검정고시
260050040,취업/수험서;편입/검정고시;독학사
270,여행/지도
270010,여행/지도;국내여행
270020,여행/지도;해외여행
270030,여행/지도;테마여행
270040,여행/지도;지도/지리
270010010,여행/지도;국내여행;전국여행
270010020,여행/지도;국내여행;강원/영동
270010030,여행/지도;국내여행;충청도
270010040,여행/지도;국내여행;경상도/영남
270010050,여행/지도;국내여행;전라도/호남
270010060,여행/지도;국내여행;제주도
270010070,여행/지도;국내여행;서울/경기
270020010,여행/지도;해외여행;세계여행
270020020,여행/지도;해외여행;유럽여행
270020030,여행/지도;해외여행;미국/캐나다/중남미
270020040,여행/지도;해외여행;일본여행
270020050,여행/지도;해외여행;중국여행
270020060,여행/지도;해외여행;인도/아시아여행
270020070,여행/지도;해외여행;기타여행
270030010,여행/지도;테마여행;역사/문학기행
270030020,여행/지도;테마여행;배낭여행
270030030,여행/지도;테마여행;맛집여행
270030040,여행/지도;테마여행;체험학습/가족여행
270030050,여행/지도;테마여행;기타
270040010,여행/지도;지도/지리;지리일반/지리학
270040020,여행/지도;지도/지리;국내지도
270040030,여행/지도;지도/지리;해외지도
280,컴퓨터/IT
280010,컴퓨터/IT;웹/컴퓨터입문/활용
280020,컴퓨터/IT;IT 전문서
280030,컴퓨터/IT;그래픽/멀티미디어
280040,컴퓨터/IT;오피스활용도서
280050,컴퓨터/IT;컴퓨터수험서
280010010,컴퓨터/IT;웹/컴퓨터입문/활용;웹/홈페이지
280010020,컴퓨터/IT;웹/컴퓨터입문/활용;컴퓨터입문/활용
280010030,컴퓨터/IT;웹/컴퓨터입문/활용;컴퓨터게임
280020010,컴퓨터/IT;IT 전문서;개발/OS/데이터베이스
280020020,컴퓨터/IT;IT 전문서;프로그래밍언어
280020030,컴퓨터/IT;IT 전문서;네트워크보안
280020040,컴퓨터/IT;IT 전문서;컴퓨터공학
280030010,컴퓨터/IT;그래픽/멀티미디어;3DS/MAX
280030020,컴퓨터/IT;그래픽/멀티미디어;그래픽일반/자료집
280030030,컴퓨터/IT;그래픽/멀티미디어;그래픽툴/저작툴
280030040,컴퓨터/IT;그래픽/멀티미디어;기타
280040010,컴퓨터/IT;오피스활용도서;MS Excel
280040020,컴퓨터/IT;오피스활용도서;MS Word
280040030,컴퓨터/IT;오피스활용도서;MS PowerPoint
280040040,컴퓨터/IT;오피스활용도서;기타
280050010,컴퓨터/IT;컴퓨터수험서;정보처리
280050020,컴퓨터/IT;컴퓨터수험서;컴퓨터활용능력
280050030,컴퓨터/IT;컴퓨터수험서;워드프로세스
280050040,컴퓨터/IT;컴퓨터수험서;컴퓨터수험서기타
290,잡지
290010,잡지;여성/패션/리빙
290020,잡지;인문/사회/종교
290030,잡지;문예/교양지
290040,잡지;자연/공학
290050,잡지;컴퓨터/게임/그래픽
290060,잡지;어학/교육
290070,잡지;예술/대중문화
290080,잡지;취미/여행
290090,잡지;외국잡지
290010010,잡지;여성/패션/리빙;여성/패션
290010020,잡지;여성/패션/리빙;건강/요리
290010030,잡지;여성/패션/리빙;리빙/인테리어
290010040,잡지;여성/패션/리빙;결혼/육아
290020010,잡지;인문/사회/종교;시사/사회
290020020,잡지;인문/사회/종교;경제/경영
290020030,잡지;인문/사회/종교;종교
290020040,잡지;인문/사회/종교;행정/고시/정치
290030010,잡지;문예/교양지;문예
290030020,잡지;문예/교양지;출판
290030030,잡지;문예/교양지;교양
290040010,잡지;자연/공학;기계/자동차
290040020,잡지;자연/공학;의학/건강
290040030,잡지;자연/공학;농학/원예
290040040,잡지;자연/공학;자연과학
290040050,잡지;자연/공학;기타
290050010,잡지;컴퓨터/게임/그래픽;그래픽
290050020,잡지;컴퓨터/게임/그래픽;컴퓨터
290050030,잡지;컴퓨터/게임/그래픽;웹
290050040,잡지;컴퓨터/게임/그래픽;게임(Game)
290060010,잡지;어학/교육;아동학습
290060020,잡지;어학/교육;중고학습
290060030,잡지;어학/교육;어학
290060040,잡지;어학/교육;방송교재
290070010,잡지;예술/대중문화;영화/공연
290070020,잡지;예술/대중문화;사진
290070030,잡지;예술/대중문화;음악/미술
290070040,잡지;예술/대중문화;방송/연예
290070050,잡지;예술/대중문화;기타
290080010,잡지;취미/여행;레저/스포츠
290080020,잡지;취미/여행;여행
290080030,잡지;취미/여행;바둑/낚시/등산
290080040,잡지;취미/여행;기타
290090010,잡지;외국잡지;Fashion & Living
290090020,잡지;외국잡지;Entertainment
290090030,잡지;외국잡지;News & Economy
290090040,잡지;외국잡지;Art & Design
290090050,잡지;외국잡지;기타외국잡지
300,청소년
300010,청소년;논술대비
300020,청소년;공부방법/진학가이드
300030,청소년;진로/진학가이드
300040,청소년;청소년 경제/자기계발
300050,청소년;청소년 문학
300060,청소년;청소년 인문/사회
300070,청소년;청소년 예술
300080,청소년;청소년 과학
310,유아
310010,유아;0~3세
310020,유아;4~7세
310030,유아;유아놀이책
310040,유아;유아그림책
310050,유아;유아학습
310010010,유아;0~3세;한국그림책
310010020,유아;0~3세;외국그림책
310010030,유아;0~3세;학습그림책
310010040,유아;0~3세;생활습관
310010050,유아;0~3세;놀이책
310020010,유아;4~7세;한국그림책
310020020,유아;4~7세;외국그림책
310020030,유아;4~7세;학습그림책
310020040,유아;4~7세;생활습관
310020050,유아;4~7세;놀이책
310030010,유아;유아놀이책;입체/팝업북
310030020,유아;유아놀이책;스티커북/색칠노링
310030040,유아;유아놀이책;퍼즐/플래시카드
310030050,유아;유아놀이책;기타
310040010,유아;유아그림책;세계 명작 동화
310040020,유아;유아그림책;한국 전래 동화
310040030,유아;유아그림책;국내 창작 동화
310040040,유아;유아그림책;다른나라 그림책
310050010,유아;유아학습;동요/동시
310050020,유아;유아학습;한글/말 배우기
